"","metabolite","N","P"
"1","CE(22:2)","-0.21±0.05","0.06±1.14"
"2","DG(16:0_20:3) ","-0.25±0.01","0.07±1.13"
"3","DG(16:1_20:3)","-0.25±0.01","0.08±1.13"
"4","LPC(18:1)","-0.23±0.01","0.07±1.13"
"5","MGDG(17:0_20:4) ","-0.22±0.03","0.07±1.14"
"6","OxTG(16:0_18:0_17:1(OHOH)) ","-0.25±0.02","0.07±1.13"
"7","PC(16:0_20:4) ","-0.2±0.05","0.06±1.14"
"8","PC(18:0_18:2) ","-0.22±0.03","0.07±1.14"
"9","PC(18:1_20:3) ","-0.21±0.05","0.06±1.14"
"10","PE(16:1_18:1) ","-0.31±0.03","0.09±1.13"
"11","PE(18:0_18:2) ","-0.32±0.02","0.1±1.13"
"12","PE(18:1_20:3) ","-0.27±0.01","0.08±1.13"
"13","PEtOH(18:0_17:2) ","-0.2±0.06","0.06±1.14"
"14","TG(16:0_17:0_20:0) ","-0.26±0.04","0.08±1.13"
"15","TG(16:1_18:1_22:5) ","-0.23±0.01","0.07±1.14"
"16","zymosteryl palmitoleate  ","-0.26±0.04","0.08±1.13"
"17","PEtOH(40:8)","-0.29±0.01","0.09±1.13"
"18","Plasmanyl-PS(29:0)","-0.65±1.11","0.2±0.89"
"19","CE(14:1) ","-0.27±0.05","0.08±1.13"
"20","CE(20:1)","-0.11±0.15","0.03±1.14"
"21","Cer(d18:4_26:0) ","-0.4±0.23","0.12±1.11"
"22","Cer(d22:5_22:6) ","-0.53±1.01","0.16±0.95"
"23","DG(10:0_17:2) ","1±0.2","-0.3±0.94"
"24","DG(8:0_20:2) ","-0.8±0.77","0.24±0.94"
"25","MGDG(11:0_24:4) ","-0.21±0.06","0.06±1.14"
"26","MGDG(12:0_22:5) ","-0.17±0.12","0.05±1.14"
"27","MGDG(13:0_22:5) ","-0.21±0.03","0.06±1.14"
"28","MGDG(13:0_20:3) ","-0.23±0.01","0.07±1.14"
"29","MGDG(14:0_22:5) ","-0.63±1.28","0.19±0.82"
"30","MGDG(14:1_24:4) ","-0.23±0.02","0.07±1.14"
"31","MGDG(15:1_22:6) ","-0.22±0.01","0.07±1.14"
"32","MGDG(16:1_22:6) ","-0.22±0.03","0.07±1.14"
"33","MGDG(17:0_22:6) ","-0.23±0.02","0.07±1.13"
"34","MGDG(17:1_22:6) ","-0.22±0.04","0.07±1.14"
"35","MGDG(17:2_22:6) ","-0.22±0.03","0.07±1.14"
"36","MGDG(18:4_26:2) ","-0.23±0.01","0.07±1.13"
"37","MGDG(18:2_22:6) ","-0.22±0.03","0.07±1.14"
"38","MGDG(2:0_22:0) ","-0.37±0.64","0.11±1.07"
"39","MGDG(6:0_26:1) ","-0.24±0.02","0.07±1.13"
"40","MGDG(9:0_24:4) ","-0.23±0.01","0.07±1.14"
"41","OxTG(17:1(OOOO)_24:1(OOOO)_22:5)","-0.24±0","0.07±1.13"
"42","OxTG(18:1(OOOO)_24:1(OOOO)_22:5) ","-0.25±0.01","0.08±1.13"
